node,extreme,spl
0,49,4
1,0,2
1,49,4
2,0,4
2,49,4
3,0,2
3,49,4
4,0,5
4,49,1
5,0,3
5,49,5
6,0,1
6,49,5
7,0,3
7,49,3
8,0,3
8,49,5
9,0,3
9,49,3
10,0,3
10,49,4
11,0,4
11,49,2
12,0,4
12,49,3
13,0,4
13,49,4
14,0,4
14,49,4
15,0,4
15,49,4
16,0,4
16,49,4
17,0,4
17,49,3
18,0,4
18,49,4
19,0,3
19,49,3
20,0,4
20,49,2
21,0,3
21,49,4
22,0,2
22,49,4
23,0,3
23,49,3
24,0,4
24,49,2
25,0,5
25,49,3
26,0,3
26,49,4
27,0,1
27,49,5
28,0,4
28,49,4
29,0,2
29,49,4
30,0,4
30,49,4
31,0,4
31,49,4
32,0,3
32,49,4
33,0,4
33,49,3
34,0,3
34,49,3
35,0,4
35,49,4
36,0,1
36,49,3
37,0,3
37,49,1
38,0,4
38,49,2
39,0,5
39,49,3
40,0,4
40,49,2
41,0,4
41,49,4
42,0,4
42,49,4
43,0,2
43,49,4
44,0,4
44,49,3
45,0,4
45,49,4
46,0,4
46,49,4
47,0,5
47,49,1
48,0,2
48,49,2
49,0,4
