node,neighbor,spl
0,1,3
0,2,2
0,3,3
0,4,2
0,5,3
1,0,3
1,2,4
1,3,3
1,4,3
1,5,3
2,0,2
2,1,4
2,3,3
2,4,3
2,5,2
3,0,3
3,1,3
3,2,3
3,4,3
3,5,2
3,6,3
4,1,3
4,2,3
4,3,3
4,5,1
4,6,2
4,7,3
5,2,2
5,3,2
5,4,1
5,6,3
5,7,2
5,8,3
6,3,3
6,4,2
6,5,3
6,7,3
6,8,3
6,9,3
7,4,3
7,5,2
7,6,3
7,8,3
7,9,3
7,10,4
8,5,3
8,6,3
8,7,3
8,9,3
8,10,3
8,11,3
9,6,3
9,7,3
9,8,3
9,10,4
9,11,2
9,12,2
10,7,4
10,8,3
10,9,4
10,11,2
10,12,3
10,13,3
11,8,3
11,9,2
11,10,2
11,12,3
11,13,3
11,14,3
12,9,2
12,10,3
12,11,3
12,13,2
12,14,3
12,15,2
13,10,3
13,11,3
13,12,2
13,14,2
13,15,4
13,16,2
14,11,3
14,12,3
14,13,2
14,15,3
14,16,3
14,17,3
15,12,2
15,13,4
15,14,3
15,16,4
15,17,3
15,18,3
16,13,2
16,14,3
16,15,4
16,17,3
16,18,1
16,19,3
17,14,3
17,15,3
17,16,3
17,18,3
17,19,2
17,20,3
18,15,3
18,16,1
18,17,3
18,19,3
18,20,3
18,21,2
19,16,3
19,17,2
19,18,3
19,20,3
19,21,3
19,22,3
20,17,3
20,18,3
20,19,3
20,21,1
20,22,2
20,23,3
21,18,2
21,19,3
21,20,1
21,22,3
21,23,3
21,24,3
22,19,3
22,20,2
22,21,3
22,23,2
22,24,3
22,25,3
23,20,3
23,21,3
23,22,2
23,24,3
23,25,3
23,26,3
24,21,3
24,22,3
24,23,3
24,25,2
24,26,3
24,27,3
25,22,3
25,23,3
25,24,2
25,26,3
25,27,1
25,28,3
26,23,3
26,24,3
26,25,3
26,27,3
26,28,3
26,29,2
27,24,3
27,25,1
27,26,3
27,28,3
27,29,3
27,30,2
28,25,3
28,26,3
28,27,3
28,29,3
28,30,3
28,31,3
29,26,2
29,27,3
29,28,3
29,30,3
29,31,3
29,32,3
30,27,2
30,28,3
30,29,3
30,31,3
30,32,1
30,33,3
31,28,3
31,29,3
31,30,3
31,32,2
31,33,2
31,34,3
32,29,3
32,30,1
32,31,2
32,33,2
32,34,1
32,35,2
33,30,3
33,31,2
33,32,2
33,34,3
33,35,4
33,36,3
34,31,3
34,32,1
34,33,3
34,35,3
34,36,3
34,37,4
35,32,2
35,33,4
35,34,3
35,36,2
35,37,3
35,38,1
36,33,3
36,34,3
36,35,2
36,37,1
36,38,1
36,39,3
37,34,4
37,35,3
37,36,1
37,38,2
37,39,3
37,40,3
38,35,1
38,36,1
38,37,2
38,39,3
38,40,2
38,41,3
39,36,3
39,37,3
39,38,3
39,40,3
39,41,3
39,42,1
40,37,3
40,38,2
40,39,3
40,41,2
40,42,4
40,43,3
41,38,3
41,39,3
41,40,2
41,42,3
41,43,2
41,44,3
42,39,1
42,40,4
42,41,3
42,43,3
42,44,4
42,45,2
43,40,3
43,41,2
43,42,3
43,44,3
43,45,3
43,46,3
44,41,3
44,42,4
44,43,3
44,45,3
44,46,2
44,47,3
45,42,2
45,43,3
45,44,3
45,46,3
45,47,3
45,48,3
46,43,3
46,44,2
46,45,3
46,47,2
46,48,4
46,49,2
47,44,3
47,45,3
47,46,2
47,48,2
47,49,2
48,44,4
48,45,3
48,46,4
48,47,2
48,49,2
49,44,3
49,45,4
49,46,2
49,47,2
49,48,2
