node,extreme,spl
0,49,2
1,0,2
1,49,2
2,0,3
2,49,3
3,0,3
3,49,2
4,0,3
4,49,2
5,0,3
5,49,3
6,0,3
6,49,3
7,0,3
7,49,3
8,0,3
8,49,1
9,0,1
9,49,3
10,0,3
10,49,3
11,0,2
11,49,3
12,0,1
12,49,2
13,0,1
13,49,1
14,0,3
14,49,1
15,0,2
15,49,2
16,0,3
16,49,2
17,0,3
17,49,3
18,0,3
18,49,3
19,0,3
19,49,2
20,0,3
20,49,3
21,0,2
21,49,2
22,0,2
22,49,2
23,0,2
23,49,3
24,0,1
24,49,2
25,0,3
25,49,2
26,0,2
26,49,3
27,0,2
27,49,3
28,0,3
28,49,3
29,0,2
29,49,2
30,0,3
30,49,3
31,0,2
31,49,3
32,0,3
32,49,2
33,0,3
33,49,2
34,0,2
34,49,2
35,0,2
35,49,2
36,0,1
36,49,3
37,0,3
37,49,3
38,0,3
38,49,3
39,0,3
39,49,3
40,0,2
40,49,3
41,0,2
41,49,3
42,0,2
42,49,1
43,0,3
43,49,2
44,0,2
44,49,3
45,0,3
45,49,2
46,0,2
46,49,2
47,0,2
47,49,3
48,0,2
48,49,1
49,0,2
