node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,2
2,49,3
3,0,2
3,49,3
4,0,2
4,49,3
5,0,2
5,49,3
6,0,3
6,49,3
7,0,3
7,49,3
8,0,3
8,49,3
9,0,3
9,49,2
10,0,2
10,49,1
11,0,3
11,49,2
12,0,3
12,49,2
13,0,3
13,49,2
14,0,2
14,49,3
15,0,2
15,49,3
16,0,3
16,49,3
17,0,1
17,49,2
18,0,3
18,49,3
19,0,2
19,49,3
20,0,2
20,49,3
21,0,3
21,49,2
22,0,3
22,49,2
23,0,2
23,49,1
24,0,2
24,49,2
25,0,3
25,49,2
26,0,1
26,49,2
27,0,2
27,49,3
28,0,2
28,49,3
29,0,2
29,49,3
30,0,3
30,49,3
31,0,3
31,49,3
32,0,3
32,49,2
33,0,3
33,49,2
34,0,2
34,49,2
35,0,2
35,49,1
36,0,3
36,49,2
37,0,1
37,49,2
38,0,2
38,49,3
39,0,2
39,49,3
40,0,2
40,49,3
41,0,3
41,49,3
42,0,3
42,49,3
43,0,3
43,49,3
44,0,3
44,49,2
45,0,3
45,49,2
46,0,3
46,49,2
47,0,2
47,49,1
48,0,3
48,49,2
49,0,1
